STATION;Annee;EAQI_GLOBAL;POLLUANT;SIGLE POLLUANT;Mean-HourCalculation;Unit;EAQI_Index
ES1348A;2005;FAIR;Nitrogen dioxide (air);NO2;9,37;µg/m3;GOOD
ES1348A;2005;FAIR;Ozone (air);O3;62,882;µg/m3;FAIR
ES1991A;2011;FAIR;Nitrogen dioxide (air);NO2;2,404;µg/m3;GOOD
ES1991A;2011;FAIR;Sulphur dioxide (air);SO2;1,244;µg/m3;GOOD
ES1991A;2011;FAIR;Ozone (air);O3;57,882;µg/m3;FAIR
ES1544A;2001;FAIR;Nitrogen dioxide (air);NO2;25,624;µg/m3;GOOD
ES1544A;2001;FAIR;Sulphur dioxide (air);SO2;9,987;µg/m3;GOOD
ES1544A;2001;FAIR;Ozone (air);O3;50,293;µg/m3;FAIR
ES0822A;2011;GOOD;Nitrogen dioxide (air);NO2;17,119;µg/m3;GOOD
ES0822A;2011;GOOD;Sulphur dioxide (air);SO2;7,469;µg/m3;GOOD
ES0196A;2006;GOOD;Nitrogen dioxide (air);NO2;25,946;µg/m3;GOOD
ES0196A;2006;GOOD;Sulphur dioxide (air);SO2;15,627;µg/m3;GOOD
ES0196A;2006;GOOD;Particulate matter < 10 µm (aerosol);PM10;15,547;µg/m3;GOOD
FR03024;2005;FAIR;Ozone (air);O3;52,025;µg/m3;FAIR
FR21040;2003;FAIR;Nitrogen dioxide (air);NO2;18,454;µg/m3;GOOD
FR21040;2003;FAIR;Ozone (air);O3;51,816;µg/m3;FAIR
ES1546A;2008;FAIR;Nitrogen dioxide (air);NO2;10,176;µg/m3;GOOD
ES1546A;2008;FAIR;Particulate matter < 10 µm (aerosol);PM10;27,08;µg/m3;FAIR
FR09003;2008;GOOD;Nitrogen dioxide (air);NO2;24,276;µg/m3;GOOD
FR09003;2008;GOOD;Ozone (air);O3;47,419;µg/m3;GOOD
FR03047;1999;FAIR;Nitrogen dioxide (air);NO2;43,36;µg/m3;FAIR
FR03047;1999;FAIR;Ozone (air);O3;38,752;µg/m3;GOOD
ES1132A;2010;FAIR;Nitrogen dioxide (air);NO2;24,877;µg/m3;GOOD
ES1132A;2010;FAIR;Sulphur dioxide (air);SO2;12,201;µg/m3;GOOD
ES1132A;2010;FAIR;Particulate matter < 2.5 µm (aerosol);PM2.5;7,456;µg/m3;GOOD
ES1132A;2010;FAIR;Particulate matter < 10 µm (aerosol);PM10;22,132;µg/m3;FAIR
ES1132A;2010;FAIR;Ozone (air);O3;57,076;µg/m3;FAIR
FR28019;2006;GOOD;Nitrogen dioxide (air);NO2;26,422;µg/m3;GOOD
FR28019;2006;GOOD;Ozone (air);O3;44,008;µg/m3;GOOD
ES1268A;1999;FAIR;Nitrogen dioxide (air);NO2;60,628;µg/m3;FAIR
ES1268A;1999;FAIR;Sulphur dioxide (air);SO2;41,301;µg/m3;GOOD
ES1268A;1999;FAIR;Ozone (air);O3;21,66;µg/m3;GOOD
ES1279A;2011;FAIR;Nitrogen dioxide (air);NO2;9,175;µg/m3;GOOD
ES1279A;2011;FAIR;Sulphur dioxide (air);SO2;12,678;µg/m3;GOOD
ES1279A;2011;FAIR;Particulate matter < 10 µm (aerosol);PM10;33,53;µg/m3;FAIR
ES1279A;2011;FAIR;Ozone (air);O3;70,369;µg/m3;FAIR
FR07008;2009;FAIR;Nitrogen dioxide (air);NO2;26,03;µg/m3;GOOD
FR07008;2009;FAIR;Ozone (air);O3;50,568;µg/m3;FAIR
FR12004;2011;FAIR;Nitrogen dioxide (air);NO2;23,653;µg/m3;GOOD
FR12004;2011;FAIR;Particulate matter < 10 µm (aerosol);PM10;25,425;µg/m3;FAIR
FR12004;2011;FAIR;Ozone (air);O3;53,087;µg/m3;FAIR
FR33302;2011;GOOD;Nitrogen dioxide (air);NO2;14,381;µg/m3;GOOD
FR33302;2011;GOOD;Sulphur dioxide (air);SO2;0,922;µg/m3;GOOD
FR33302;2011;GOOD;Particulate matter < 10 µm (aerosol);PM10;17,547;µg/m3;GOOD
